"","Date","SpotPrice"
"267","20161125","2.76"
"268","20161124","2.76"
"269","20161123","2.76"
"270","20161122","2.73"
"271","20161121","2.81"
"272","20161118","2.6"
"273","20161117","2.37"
"274","20161116","2.49"
"275","20161115","2.49"
"276","20161114","2.26"
"277","20161111","2.08"
"278","20161110","2.08"
"279","20161109","2.22"
"280","20161108","2.34"
"281","20161107","2.37"
"282","20161104","2.2"
"283","20161103","2.41"
"284","20161102","2.53"
"285","20161031","2.85"
"286","20161028","2.72"
"287","20161027","2.72"
"288","20161026","2.69"
"289","20161025","2.69"
"290","20161024","2.78"
"291","20161021","2.92"
"292","20161020","3.12"
"293","20161019","3.18"
"294","20161018","3.25"
"295","20161017","3.21"
"296","20161014","3.18"
"297","20161013","3.16"
"298","20161012","3.17"
"299","20161011","3.17"
"300","20161010","3.18"
"301","20161007","3.02"
"302","20161006","3.04"
"303","20161005","2.83"
"304","20161004","2.83"
"305","20161003","2.84"
"306","20160930","2.84"
"307","20160929","2.98"
"308","20160928","3.07"
"309","20160927","3.09"
"310","20160926","3.06"
"311","20160923","3.06"
"312","20160922","3.18"
"313","20160921","3.19"
"314","20160920","3.12"
"315","20160919","3"
"316","20160916","2.97"
"317","20160915","2.98"
"318","20160914","3.07"
"319","20160913","3.04"
"320","20160912","3.04"
"321","20160909","2.93"
"322","20160908","2.88"
"323","20160907","2.77"
"324","20160906","2.88"
"325","20160905","2.88"
"326","20160902","2.88"
"327","20160901","2.95"
"328","20160831","2.95"
"329","20160830","2.95"
"330","20160829","2.97"
"331","20160826","2.91"
"332","20160825","2.89"
"333","20160824","2.82"
"334","20160823","2.75"
"335","20160822","2.75"
"336","20160819","2.67"
"337","20160818","2.75"
"338","20160817","2.76"
"339","20160816","2.75"
"340","20160815","2.75"
"341","20160812","2.7"
"342","20160811","2.7"
"343","20160810","2.76"
"344","20160809","2.85"
"345","20160808","2.85"
"346","20160805","2.88"
"347","20160804","2.89"
"348","20160803","2.89"
"349","20160802","2.79"
"350","20160801","2.97"
"351","20160729","2.97"
"352","20160728","2.79"
"353","20160727","2.84"
"354","20160726","2.84"
"355","20160725","2.8"
"356","20160722","2.8"
