"","Date","SpotPrice","tempm","hum","pressurem","pressurei"
"1",20171204,2.91,19.9416666666667,95.375,1017.3375,30.0452777777778
"2",20171201,2.84,13.0685714285714,87.6714285714286,1020.72428571429,30.1455714285714
"3",20171130,3.06,17.5057142857143,84.0571428571429,1020.47285714286,30.138
"4",20171129,3.06,19.0771428571429,93.7142857142857,1021.20571428571,30.1595714285714
"5",20171128,2.88,13.8211267605634,85.2535211267606,1020.37042253521,30.1350704225352
"6",20171127,2.88,9.41971830985915,74.1408450704225,1021.66901408451,30.1733802816901
"7",20171124,3.05,7.66857142857143,72.5,1016.57142857143,30.0225714285714
"8",20171123,3.05,7.31857142857143,65.4285714285714,1019.78142857143,30.1175714285714
"9",20171122,3.05,12.9471428571429,75.3428571428571,1020.33,30.1338571428571
"10",20171121,3.05,14.2927536231884,90.8985507246377,1015.58405797101,29.9936231884058
"11",20171120,3.04,8.45774647887324,75.7746478873239,1021.8661971831,30.1792957746479
"12",20171117,3.04,18.6819444444444,89.375,1017.55833333333,30.0519444444444
"13",20171116,3.09,16.7157142857143,87.0428571428571,1019.54,30.1104285714286
"14",20171115,3.16,15.6450704225352,88.2676056338028,1018.23521126761,30.0718309859155
"15",20171114,3.06,14.7085714285714,85.6714285714286,1021.09714285714,30.1567142857143
"16",20171113,3.13,17.5625,85.8888888888889,1024.375,30.2534722222222
"17",20171110,3.17,12.0985507246377,79.1739130434783,1023.24202898551,30.2204347826087
"18",20171109,3.18,11.86,93.9714285714286,1022.03571428571,30.1842857142857
"19",20171108,3.16,17.1535211267606,94.6338028169014,1018.72112676056,30.086338028169
"20",20171107,3.07,22.5828571428571,91.4,1017.82857142857,30.0598571428571
"21",20171106,3.01,23.4760563380282,91.0140845070423,1017.57605633803,30.0523943661972
"22",20171103,2.75,23.0194444444444,92.9861111111111,1019.39166666667,30.1063888888889
"23",20171102,2.68,23.5314285714286,95.1714285714286,1017.32857142857,30.045
"24",20171101,2.68,21.05,96.4333333333333,1014.12666666667,29.9506666666667
"25",20171031,2.84,17.5344827586207,79.1551724137931,1018.83448275862,30.0898275862069
"26",20171030,2.94,14.1538461538462,81.7230769230769,1017.20461538462,30.0415384615385
"27",20171027,2.78,18.5263157894737,91.3333333333333,1012.72280701754,29.9089473684211
"28",20171026,2.91,16.1702127659574,75.4255319148936,1015.57659574468,29.9934042553191
"29",20171025,2.98,12.8571428571429,62.1666666666667,1020.56904761905,30.1411904761905
"30",20171024,2.95,14.9795918367347,67.0816326530612,1021.05510204082,30.155306122449
"31",20171023,2.95,15.3333333333333,80.0222222222222,1018.56666666667,30.0817777777778
"32",20171020,2.8,22.0232558139535,93.3720930232558,1018.60930232558,30.083023255814
"33",20171019,2.83,19.9,82.96,1020.46,30.138
"34",20171018,2.81,18.0526315789474,84.1315789473684,1021.16842105263,30.1586842105263
"35",20171017,2.88,16.0943396226415,69.5283018867924,1021.86981132075,30.1794339622642
"36",20171016,2.87,19.4418604651163,57.4418604651163,1021.09069767442,30.1562790697674
"37",20171013,2.99,24.9508196721311,82.3934426229508,1018.07704918033,30.0673770491803
"38",20171012,2.95,24.4745762711864,86.5593220338983,1017.17457627119,30.0406779661017
"39",20171011,2.89,23.875,87.328125,1017.8234375,30.0596875
"40",20171010,2.89,25.6949152542373,92.5762711864407,1016.07118644068,30.0077966101695
"41",20171009,2.87,25.1818181818182,98.4545454545455,1010.4,29.8403636363636
"42",20171006,2.93,23.6296296296296,81.7037037037037,1013.38888888889,29.9288888888889
"43",20171005,2.8,22.6666666666667,81.0833333333333,1018.51,30.08
"44",20171004,2.8,24.2075471698113,83.3207547169811,1021.89245283019,30.1801886792453
"45",20171003,2.73,26.4528301886792,85.1509433962264,1020.44339622642,30.1371698113208
"46",20171002,2.94,22.8518518518519,98.6296296296296,1015.37222222222,29.9874074074074
"47",20170929,2.94,25.9846153846154,76.5076923076923,1015.19384615385,29.9824615384615
"48",20170928,2.96,26.5094339622642,81.188679245283,1013.84905660377,29.9424528301887
"49",20170927,2.98,26.7368421052632,81.5087719298246,1013.1350877193,29.9214035087719
"50",20170926,2.96,25.0327868852459,85.9344262295082,1012.35245901639,29.8980327868852
"51",20170925,2.96,24.9,83.75,1012.04666666667,29.889
"52",20170922,2.93,25.25,87.5192307692308,1014.40576923077,29.9588461538462
"53",20170921,3.11,26.1041666666667,82.4166666666667,1015.33125,29.98625
"54",20170920,3.13,26.4074074074074,88.9444444444444,1014.91851851852,29.9740740740741
"55",20170919,3.18,25.8620689655172,88.8793103448276,1014.41551724138,29.9591379310345
"56",20170918,3.11,26.2962962962963,86.7962962962963,1015.88333333333,30.0025925925926
"57",20170915,3,24.125,86.6875,1013.884375,29.9434375
"58",20170914,3.03,23.390625,82.03125,1012.884375,29.91390625
"59",20170913,3.02,22.8474576271186,83.271186440678,1010.60508474576,29.8469491525424
"60",20170912,2.88,20.6603773584906,77.1132075471698,1010.19245283019,29.8345283018868
"61",20170911,2.88,21.9047619047619,74.6666666666667,1013.3619047619,29.9278571428571
"62",20170908,2.88,20.622641509434,76.0754716981132,1018.53962264151,30.0807547169811
"63",20170907,2.92,21.2545454545455,72.5454545454545,1018.73272727273,30.0867272727273
"64",20170906,2.98,23.0689655172414,77.2413793103448,1015.70517241379,29.9970689655172
"65",20170905,2.88,25.6315789473684,88.5789473684211,1015.09824561404,29.979298245614
"66",20170904,2.88,26.4285714285714,84.6190476190476,1016.62619047619,30.0245238095238
"67",20170901,2.88,26.5434782608696,81.6739130434783,1015.31956521739,29.9860869565217
