"","Date","SpotPrice","tempm","hum","pressurem","pressurei"
"1",20161230,3.71,8.275,62.2361111111111,1027.9125,30.3579166666667
"2",20161229,3.71,16.1236111111111,65.4166666666667,1024.16111111111,30.2469444444444
"3",20161228,3.7,20.2444444444444,99.0555555555556,1019.75416666667,30.1169444444444
"4",20161227,3.7,21.3902777777778,96.6944444444444,1022.775,30.2061111111111
"5",20161226,3.6,22.1027777777778,97.6805555555556,1023.02777777778,30.2134722222222
"6",20161223,3.6,18.0652777777778,95.5555555555556,1022.45694444444,30.1966666666667
"7",20161222,3.5,16.5722222222222,97.9166666666667,1023.93611111111,30.2406944444444
"8",20161221,3.5,12.8478873239437,81.1830985915493,1024.35070422535,30.2528169014085
"9",20161220,3.39,5.47361111111111,72.2361111111111,1030.43333333333,30.4320833333333
"10",20161219,3.55,2.46111111111111,69.3888888888889,1033.03055555556,30.5088888888889
"11",20161216,3.51,13.6666666666667,91.2222222222222,1018.05,30.0666666666667
"12",20161215,3.56,8.06619718309859,80.7042253521127,1025.49154929577,30.286338028169
"13",20161214,3.55,12.9911764705882,97.7058823529412,1019.86176470588,30.12
"14",20161213,3.65,21.8870967741935,96.8225806451613,1015.48709677419,29.9906451612903
"15",20161212,3.6,20.9565217391304,93.7246376811594,1016.63188405797,30.0246376811594
"16",20161209,3.75,4.76119402985075,57.4477611940299,1033.44626865672,30.5211940298507
"17",20161208,3.68,9.01538461538462,85.5846153846154,1026.99538461538,30.3306153846154
"18",20161207,3.8,13.9193548387097,94.3548387096774,1018.86290322581,30.0904838709677
"19",20161206,3.75,13.7714285714286,89.8714285714286,1013.40142857143,29.929
"20",20161205,3.44,13.5434782608696,100,1007.51956521739,29.755652173913
"21",20161202,3.44,13.6153846153846,69.4230769230769,1020.86153846154,30.1496153846154
"22",20161201,3.32,10.9166666666667,65.2222222222222,1020.15,30.1286111111111
"23",20161130,3.32,16.7631578947368,71,1011.95,29.8860526315789
"24",20161129,3.02,23.6875,95.34375,1005.803125,29.704375
"25",20161128,2.96,19.0882352941176,93.1764705882353,1006.84411764706,29.7355882352941
"26",20161125,2.76,15.4,78.725,1025.2975,30.2805
"27",20161124,2.76,16.44,79.36,1022.648,30.2024
"28",20161123,2.76,18.6666666666667,92.2083333333333,1019.44583333333,30.1079166666667
"29",20161122,2.73,16.8947368421053,76.6842105263158,1019.78947368421,30.1178947368421
"30",20161121,2.81,10.5,76.4090909090909,1022.88636363636,30.2095454545455
"31",20161118,2.6,19.2727272727273,88.8181818181818,1019.56818181818,30.1113636363636
"32",20161117,2.37,20.3529411764706,79.2352941176471,1016.92352941176,30.0332352941176
"33",20161116,2.49,18,73.8333333333333,1017.24166666667,30.0425
"34",20161115,2.49,18.2666666666667,78.6,1016.31,30.015
"35",20161114,2.26,13.0357142857143,79.8214285714286,1019.425,30.1071428571429
"36",20161111,2.08,14.2285714285714,79.5428571428571,1021.74571428571,30.1754285714286
"37",20161110,2.08,15.4444444444444,77.0555555555556,1023.5,30.2277777777778
"38",20161109,2.22,18.9,86.25,1020.32,30.1335
"39",20161108,2.34,20.804347826087,91.8478260869565,1018.91739130435,30.0923913043478
"40",20161107,2.37,16.9767441860465,93.4651162790698,1020.3976744186,30.1358139534884
"41",20161104,2.2,25.3809523809524,66.0476190476191,1021.80476190476,30.177619047619
"42",20161103,2.41,22.924,73.56,1022.268,30.1916
"43",20161102,2.53,23.3875,72.4583333333333,1020.85,30.1504166666667
"44",20161031,2.85,18.2020408163265,81.3469387755102,1019.05510204082,30.0965306122449
"45",20161028,2.72,20.0428571428571,80,1022.25476190476,30.1902380952381
"46",20161027,2.72,22.7916666666667,69.0416666666667,1021.99166666667,30.1833333333333
"47",20161026,2.69,13.15,100,1021.75,30.175
"48",20161025,2.69,12.9111111111111,91.3333333333333,1022.48888888889,30.1977777777778
"49",20161024,2.78,12.4285714285714,94.1428571428571,1025.18571428571,30.2771428571429
"50",20161021,2.92,19,85,1018.5,30.08
"51",20161020,3.12,24.2625,87.4027777777778,1016.40555555556,30.0177777777778
"52",20161019,3.18,23.8916666666667,89.7083333333333,1015.81805555556,30.0005555555556
"53",20161018,3.25,24.1833333333333,85.5972222222222,1014.12222222222,29.9501388888889
"54",20161017,3.21,22.9194444444444,90.6111111111111,1013.79722222222,29.9408333333333
"55",20161014,3.18,21.5236111111111,81.8055555555556,1019.7,30.115
"56",20161013,3.16,22.625,78.2916666666667,1019.91527777778,30.1216666666667
"57",20161012,3.17,22.7236111111111,82.1111111111111,1019.59027777778,30.1120833333333
"58",20161011,3.17,22.9347222222222,77.2222222222222,1020.90694444444,30.1508333333333
"59",20161010,3.18,20.6194444444444,77.7083333333333,1020.79027777778,30.1472222222222
"60",20161007,3.02,24.7375,75.7222222222222,1014.29166666667,29.9552777777778
"61",20161006,3.04,24.0555555555556,81.0416666666667,1014.18194444444,29.9520833333333
"62",20161005,2.83,25.8159420289855,85.8695652173913,1013.72898550725,29.9388405797101
"63",20161004,2.83,23.7361111111111,84.0972222222222,1011.72222222222,29.8795833333333
"64",20161003,2.84,21.625,77.9583333333333,1013.60416666667,29.9352777777778
"65",20160930,2.84,18.7680555555556,74.7222222222222,1019.16111111111,30.0993055555556
"66",20160929,2.98,21.6541666666667,76.8333333333333,1018.40138888889,30.0768055555556
"67",20160928,3.07,24.1486111111111,79.7916666666667,1015.85972222222,30.0018055555556
"68",20160927,3.09,24.6597222222222,83.125,1014.75972222222,29.9694444444444
"69",20160926,3.06,26.0591549295775,81.1408450704225,1015.69295774648,29.9969014084507
